BTOT,yr,RELI,wkt,WT1,WT2,WT3,WT4,WT5,WT6
65,2014,68262466,POINT(8.532136 47.365067),1,4,11,22,3,2
301,2014,68132476,POINT(8.51511 47.374222),78,17,116,9,1,0
48,2014,67942498,POINT(8.490345 47.394239),0,23,0,9,0,0
63,2014,68252469,POINT(8.530868 47.367777),5,11,4,10,10,1
14,2014,68382471,POINT(8.548114 47.369412),5,4,1,3,0,1
73,2014,68602453,POINT(8.576891 47.35294),2,2,27,15,1,2
10,2014,67992463,POINT(8.496343 47.362702),2,2,2,0,1,0
78,2014,68192477,POINT(8.523071 47.375047),1,11,38,10,1,0
142,2014,68012470,POINT(8.499115 47.368973),6,17,89,0,0,0
36,2014,68412474,POINT(8.552142 47.372072),5,7,5,3,2,0
82,2014,68022487,POINT(8.500743 47.384249),14,30,16,2,0,0
147,2014,68322494,POINT(8.540599 47.390173),0,6,37,18,8,2
31,2014,68542509,POINT(8.57002 47.403381),3,6,1,3,1,0
166,2014,68242522,POINT(8.53052 47.415454),5,5,38,16,14,0
44,2014,68532446,POINT(8.567495 47.346736),3,16,5,12,0,2
141,2014,68242444,POINT(8.529084 47.345306),10,23,42,9,1,0
39,2014,68552520,POINT(8.571555 47.413261),0,0,2,7,1,0
108,2014,68232495,POINT(8.528698 47.391185),3,21,6,20,0,0
4,2014,67922469,POINT(8.487183 47.368182),0,0,2,0,2,0
33,2014,68412527,POINT(8.553138 47.419736),3,4,9,4,1,0
43,2014,68472482,POINT(8.560236 47.37919),0,0,6,6,6,0
100,2014,67912490,POINT(8.486231 47.38708),5,19,32,7,2,0
136,2014,68012479,POINT(8.499276 47.377067),7,57,34,3,1,0
41,2014,67852491,POINT(8.478303 47.388051),2,9,15,3,4,1
159,2014,68412461,POINT(8.551897 47.36038),4,21,27,16,11,12
104,2014,68502479,POINT(8.564151 47.376453),2,8,16,11,11,6
162,2014,68402463,POINT(8.550611 47.362192),24,32,36,14,5,1
145,2014,67892494,POINT(8.483653 47.390702),9,31,22,16,0,0
5,2014,68642442,POINT(8.581973 47.342995),0,1,0,1,1,0
